08923: Maritime transport statistics. Cargo and number of units, by commodity, flag, loaded/unloaded, domestic/foreign, quarter, contents and port;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
commodity;flag;loaded/unloaded;domestic/foreign;quarter;contents;Fredrikstad (Borg);Moss;Oslo;Drammen;Tønsberg;Sandefjord;Larvik;Porsgrunn (Grenland);Kristiansand;Farsund;Kvinesdal;Egersund;Stavanger;Sauda;Haugesund (Karmsund);Bergen and Omland;Florø;Svelgen (Bremanger);Måløy (Nordfjord);Ålesund;Molde;Kristiansund;Trondheim;Verdal;Brønnøysund (Brønnøy);Helgeland havn;Mo i Rana;Bodø;Narvik;Harstad;Tromsø;Hammerfest;Sveagruva;Kirkenes;Norway - Unspecified, quarterly survey
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Unknown;2014K2;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Unknown;2014K3;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Unknown;2014K4;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Unknown;2015K1;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Unknown;2015K2;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;459;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Unknown;2015K3;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1880;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Unknown;2015K4;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Unknown;2016K1;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Unknown;2016K2;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Unknown;2016K3;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;210;0;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Unknown;2016K4;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Unknown;2017K1;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
